GENERO,PG_ICFES
MASCULINO,486.1
FEMENINO,462.49
MASCULINO,448.91
MASCULINO,439.41
FEMENINO,436.91
FEMENINO,433.07
MASCULINO,449.49
MASCULINO,416.95
MASCULINO,426.63
FEMENINO,412.84
MASCULINO,439.82
MASCULINO,485.23
MASCULINO,438.87
MASCULINO,414.1
MASCULINO,504.6
FEMENINO,461.97
MASCULINO,437.72
FEMENINO,447.9
MASCULINO,442.24
MASCULINO,436.53
MASCULINO,443.54
MASCULINO,469.24
MASCULINO,442.63
MASCULINO,419.07
MASCULINO,478.06
MASCULINO,461.7
MASCULINO,375.82
FEMENINO,439.89
MASCULINO,440.15
MASCULINO,418.06
MASCULINO,438.46
MASCULINO,439.23
FEMENINO,453.13
FEMENINO,436.22
FEMENINO,458.93
MASCULINO,471.92
MASCULINO,432.43
MASCULINO,442.89
FEMENINO,467.27
MASCULINO,456.17
MASCULINO,469.84
MASCULINO,470.33
MASCULINO,433.63
FEMENINO,470.25
FEMENINO,433.81
FEMENINO,459.03
MASCULINO,454.65
MASCULINO,452.46
MASCULINO,459.21
MASCULINO,479.27
MASCULINO,420.25
MASCULINO,442.31
MASCULINO,457.43
MASCULINO,485.61
FEMENINO,481.89
MASCULINO,423.33
FEMENINO,463.14
MASCULINO,439.3
FEMENINO,463.46
MASCULINO,431.82
MASCULINO,432.21
MASCULINO,435.27
FEMENINO,442.37
FEMENINO,470.26
FEMENINO,446.54
FEMENINO,440.35
FEMENINO,483.02
MASCULINO,437.78
MASCULINO,447.34
MASCULINO,439.28
FEMENINO,455.19
FEMENINO,435.33
FEMENINO,475.05
MASCULINO,422.18
MASCULINO,456.16
MASCULINO,434.44
MASCULINO,441.74
FEMENINO,448.01
MASCULINO,442.63
MASCULINO,442.07
FEMENINO,417.38
MASCULINO,425.16
MASCULINO,434.85
MASCULINO,456.4
MASCULINO,453.75
MASCULINO,457.96
MASCULINO,424.02
FEMENINO,444.73
MASCULINO,454.47
FEMENINO,460.27
MASCULINO,473.74
MASCULINO,447.18
MASCULINO,432.05
FEMENINO,423.25
MASCULINO,426.21
MASCULINO,420.67
FEMENINO,461.5
FEMENINO,469.38
FEMENINO,417.49
FEMENINO,476.14
FEMENINO,452.79
FEMENINO,475.48
MASCULINO,456.53
MASCULINO,469.11
MASCULINO,404.67
MASCULINO,446.87
MASCULINO,485.33
MASCULINO,427.2
FEMENINO,447.8
MASCULINO,443.12
MASCULINO,412.91
MASCULINO,445.2
MASCULINO,450.65
MASCULINO,420.69
MASCULINO,417.58
FEMENINO,419.88
MASCULINO,416.78
FEMENINO,438.79
MASCULINO,429.38
MASCULINO,410.68
MASCULINO,432.88
FEMENINO,426.17
FEMENINO,412.56
MASCULINO,405.71
FEMENINO,397.55
MASCULINO,403.81
MASCULINO,400.71
FEMENINO,404.6
MASCULINO,403.12
FEMENINO,399.16
MASCULINO,388.6
MASCULINO,398.6
MASCULINO,396.06
MASCULINO,406.64
MASCULINO,381.5
MASCULINO,394.94
FEMENINO,400.67
FEMENINO,392.68
FEMENINO,390.96
MASCULINO,387.97
FEMENINO,395.67
MASCULINO,394.91
MASCULINO,398.73
FEMENINO,400.35
FEMENINO,391.98
FEMENINO,392.4
MASCULINO,400.36
FEMENINO,393.94
MASCULINO,392.02
FEMENINO,389.24
FEMENINO,395.05
MASCULINO,386.31
FEMENINO,388.47
FEMENINO,391.24
MASCULINO,396.43
MASCULINO,381.88
FEMENINO,396.47
FEMENINO,379.56
MASCULINO,388.74
MASCULINO,379.27
MASCULINO,382.83
MASCULINO,384.68
MASCULINO,379.6
FEMENINO,383.7
MASCULINO,361.51
FEMENINO,381.06
FEMENINO,387.44
MASCULINO,391.51
MASCULINO,376.74
FEMENINO,372.7
FEMENINO,381.27
MASCULINO,372.59
FEMENINO,380.6
FEMENINO,377.98
MASCULINO,383.83
FEMENINO,388.86
MASCULINO,377.2
MASCULINO,391.52
MASCULINO,380.21
MASCULINO,392.25
MASCULINO,378.48
MASCULINO,377.1
MASCULINO,377.46
MASCULINO,365.54
MASCULINO,366.92
MASCULINO,384.32
MASCULINO,373.77
FEMENINO,371.97
FEMENINO,382.78
MASCULINO,383.29
MASCULINO,377.8
FEMENINO,378.21
FEMENINO,379.29
MASCULINO,373.1
FEMENINO,375.01
FEMENINO,367.92
MASCULINO,368.36
MASCULINO,362.53
MASCULINO,377.66
MASCULINO,381.39
MASCULINO,377.15
MASCULINO,373.2
MASCULINO,377.2
MASCULINO,373.94
FEMENINO,371.96
MASCULINO,378.29
FEMENINO,380.77
FEMENINO,370.99
MASCULINO,368.31
MASCULINO,363.01
MASCULINO,367.76
MASCULINO,373.36
MASCULINO,381.99
MASCULINO,368.8
FEMENINO,372.22
MASCULINO,365.77
FEMENINO,370.34
MASCULINO,375.78
FEMENINO,370.31
MASCULINO,358.36
MASCULINO,365.13
MASCULINO,360.27
FEMENINO,369.64
FEMENINO,368.65
MASCULINO,377.12
MASCULINO,376.36
MASCULINO,361.8
FEMENINO,356.46
MASCULINO,365.07
MASCULINO,377.05
FEMENINO,353.43
FEMENINO,396.16
FEMENINO,423.85
FEMENINO,474.0
MASCULINO,443.0
MASCULINO,449.0
MASCULINO,483.0
MASCULINO,457.0
MASCULINO,478.0
MASCULINO,453.0
MASCULINO,452.0
MASCULINO,447.0
MASCULINO,429.2
MASCULINO,464.0
MASCULINO,429.0
MASCULINO,447.0
MASCULINO,436.0
FEMENINO,417.0
MASCULINO,424.0
MASCULINO,437.0
MASCULINO,422.0
MASCULINO,448.0
MASCULINO,419.0
FEMENINO,435.0
MASCULINO,453.0
MASCULINO,431.0
FEMENINO,423.0
MASCULINO,434.0
FEMENINO,419.0
MASCULINO,446.0
MASCULINO,421.0
FEMENINO,437.0
MASCULINO,425.0
MASCULINO,424.0
MASCULINO,432.0
FEMENINO,445.0
MASCULINO,425.0
FEMENINO,433.0
FEMENINO,404.0
MASCULINO,432.0
MASCULINO,423.0
FEMENINO,437.0
FEMENINO,406.0
MASCULINO,434.0
MASCULINO,409.0
MASCULINO,410.0
FEMENINO,429.0
FEMENINO,411.0
FEMENINO,421.0
MASCULINO,410.0
FEMENINO,425.0
FEMENINO,425.0
MASCULINO,417.0
MASCULINO,427.0
MASCULINO,425.0
MASCULINO,405.0
MASCULINO,419.0
MASCULINO,419.0
MASCULINO,402.0
MASCULINO,414.0
FEMENINO,413.0
MASCULINO,420.0
MASCULINO,408.0
MASCULINO,390.0
FEMENINO,399.0
MASCULINO,418.0
MASCULINO,396.0
FEMENINO,411.42
FEMENINO,410.0
FEMENINO,409.0
FEMENINO,418.0
MASCULINO,399.62
MASCULINO,408.0
MASCULINO,401.0
MASCULINO,404.1
MASCULINO,407.0
MASCULINO,394.0
MASCULINO,391.0
MASCULINO,440.0
MASCULINO,413.0
FEMENINO,385.0
MASCULINO,411.0
FEMENINO,412.0
FEMENINO,375.0
MASCULINO,409.0
MASCULINO,383.0
MASCULINO,398.0
MASCULINO,393.59
MASCULINO,412.0
FEMENINO,380.0
MASCULINO,384.0
MASCULINO,423.0
FEMENINO,405.0
MASCULINO,394.0
FEMENINO,399.0
MASCULINO,381.0
FEMENINO,387.0
MASCULINO,402.0
MASCULINO,414.0
FEMENINO,391.0
MASCULINO,395.0
FEMENINO,394.0
FEMENINO,419.0
FEMENINO,387.0
MASCULINO,400.0
MASCULINO,371.0
MASCULINO,390.0
MASCULINO,386.0
MASCULINO,390.0
FEMENINO,386.0
FEMENINO,416.0
FEMENINO,404.0
FEMENINO,366.27
FEMENINO,354.0
MASCULINO,524.0
MASCULINO,460.0
FEMENINO,436.0
MASCULINO,454.0
MASCULINO,444.0
FEMENINO,448.0
MASCULINO,420.0
FEMENINO,428.0
MASCULINO,446.33
FEMENINO,420.0
MASCULINO,410.0
MASCULINO,419.0
FEMENINO,428.0
FEMENINO,432.0
FEMENINO,423.0
FEMENINO,425.0
MASCULINO,415.0
MASCULINO,426.0
MASCULINO,425.0
MASCULINO,424.0
MASCULINO,411.0
MASCULINO,389.0
FEMENINO,406.07
MASCULINO,425.0
MASCULINO,417.0
FEMENINO,420.0
FEMENINO,425.0
MASCULINO,401.0
FEMENINO,408.0
MASCULINO,410.0
MASCULINO,415.0
FEMENINO,401.0
FEMENINO,392.0
MASCULINO,429.0
MASCULINO,398.0
MASCULINO,403.51
MASCULINO,399.0
MASCULINO,401.78
FEMENINO,410.0
FEMENINO,408.0
FEMENINO,406.0
MASCULINO,406.0
FEMENINO,423.0
MASCULINO,402.0
MASCULINO,400.0
MASCULINO,410.0
MASCULINO,413.0
MASCULINO,420.0
MASCULINO,423.0
MASCULINO,392.0
FEMENINO,399.0
MASCULINO,402.0
FEMENINO,404.0
FEMENINO,409.0
FEMENINO,395.0
MASCULINO,385.0
MASCULINO,395.13
MASCULINO,403.0
FEMENINO,399.32
FEMENINO,410.0
FEMENINO,414.0
FEMENINO,402.0
MASCULINO,385.0
FEMENINO,372.0
MASCULINO,389.0
MASCULINO,415.0
MASCULINO,390.0
MASCULINO,379.0
MASCULINO,403.0
FEMENINO,421.0
MASCULINO,400.0
MASCULINO,397.0
MASCULINO,393.0
FEMENINO,413.0
FEMENINO,402.0
FEMENINO,393.0
MASCULINO,376.0
FEMENINO,399.0
MASCULINO,395.0
MASCULINO,385.0
MASCULINO,412.0
FEMENINO,392.0
FEMENINO,364.0
FEMENINO,376.0
MASCULINO,411.0
FEMENINO,392.78
FEMENINO,387.74
FEMENINO,385.0
MASCULINO,387.0
FEMENINO,390.0
MASCULINO,397.0
MASCULINO,398.0
FEMENINO,402.0
MASCULINO,397.0
MASCULINO,385.0
FEMENINO,382.0
MASCULINO,392.0
MASCULINO,376.0
MASCULINO,383.0
FEMENINO,388.0
FEMENINO,380.0
MASCULINO,408.0
FEMENINO,385.0
MASCULINO,396.0
MASCULINO,368.0
MASCULINO,379.0
MASCULINO,392.0
FEMENINO,388.0
FEMENINO,381.0
FEMENINO,380.0
MASCULINO,387.0
MASCULINO,371.0
FEMENINO,353.0
FEMENINO,385.0
FEMENINO,384.0
MASCULINO,375.0
MASCULINO,466.0
FEMENINO,502.0
MASCULINO,447.0
MASCULINO,447.0
MASCULINO,435.0
MASCULINO,440.0
MASCULINO,447.0
FEMENINO,432.0
FEMENINO,433.17
MASCULINO,426.0
MASCULINO,437.0
FEMENINO,432.0
MASCULINO,421.0
MASCULINO,432.0
MASCULINO,432.0
FEMENINO,434.0
FEMENINO,433.0
MASCULINO,425.0
MASCULINO,414.0
MASCULINO,425.0
MASCULINO,398.0
MASCULINO,419.0
MASCULINO,421.0
MASCULINO,434.0
FEMENINO,429.0
FEMENINO,419.0
MASCULINO,426.0
MASCULINO,433.0
FEMENINO,403.0
MASCULINO,410.0
MASCULINO,422.0
MASCULINO,421.0
MASCULINO,434.0
MASCULINO,421.0
MASCULINO,419.0
FEMENINO,424.0
FEMENINO,420.0
MASCULINO,411.0
FEMENINO,420.0
MASCULINO,419.0
MASCULINO,405.0
MASCULINO,422.0
FEMENINO,406.0
MASCULINO,403.0
FEMENINO,414.0
MASCULINO,408.0
MASCULINO,409.0
MASCULINO,414.0
MASCULINO,413.0
FEMENINO,421.0
MASCULINO,409.0
MASCULINO,415.0
MASCULINO,403.0
MASCULINO,400.0
MASCULINO,409.0
FEMENINO,412.0
MASCULINO,394.0
MASCULINO,394.0
FEMENINO,401.0
MASCULINO,402.0
MASCULINO,405.0
FEMENINO,407.0
FEMENINO,405.0
MASCULINO,395.0
FEMENINO,410.0
MASCULINO,403.0
MASCULINO,406.0
FEMENINO,408.0
MASCULINO,420.0
MASCULINO,406.0
MASCULINO,406.0
MASCULINO,402.0
FEMENINO,416.0
MASCULINO,394.0
MASCULINO,387.0
MASCULINO,402.0
FEMENINO,397.0
MASCULINO,403.0
MASCULINO,400.0
FEMENINO,416.0
FEMENINO,397.0
MASCULINO,399.0
MASCULINO,411.0
MASCULINO,396.0
FEMENINO,382.0
MASCULINO,400.0
FEMENINO,402.0
MASCULINO,405.0
MASCULINO,405.0
MASCULINO,399.16
FEMENINO,395.0
FEMENINO,395.0
FEMENINO,402.0
MASCULINO,392.0
MASCULINO,393.0
MASCULINO,392.0
FEMENINO,405.0
MASCULINO,386.0
MASCULINO,398.0
MASCULINO,395.0
MASCULINO,386.0
MASCULINO,407.0
MASCULINO,398.0
FEMENINO,394.0
FEMENINO,390.0
MASCULINO,385.0
FEMENINO,398.0
MASCULINO,396.38
MASCULINO,406.0
MASCULINO,395.0
MASCULINO,395.0
FEMENINO,395.0
MASCULINO,386.0
MASCULINO,387.26
MASCULINO,426.0
MASCULINO,397.0
MASCULINO,439.0
FEMENINO,371.46
MASCULINO,459.0
MASCULINO,447.0
MASCULINO,457.0
MASCULINO,432.0
MASCULINO,453.0
MASCULINO,431.0
MASCULINO,438.0
MASCULINO,442.0
MASCULINO,422.0
MASCULINO,430.0
MASCULINO,440.0
FEMENINO,432.0
FEMENINO,420.0
FEMENINO,435.0
MASCULINO,423.0
MASCULINO,442.0
MASCULINO,443.29
MASCULINO,411.0
MASCULINO,429.0
FEMENINO,421.0
MASCULINO,430.0
MASCULINO,414.0
FEMENINO,406.0
FEMENINO,419.0
MASCULINO,402.35
FEMENINO,415.0
MASCULINO,405.0
FEMENINO,412.0
MASCULINO,414.0
FEMENINO,402.0
FEMENINO,395.0
FEMENINO,404.0
MASCULINO,410.0
FEMENINO,407.0
FEMENINO,414.0
FEMENINO,401.0
FEMENINO,400.0
MASCULINO,402.0
FEMENINO,405.0
FEMENINO,415.0
FEMENINO,408.0
MASCULINO,398.0
MASCULINO,383.0
FEMENINO,402.0
MASCULINO,412.0
FEMENINO,385.0
MASCULINO,395.0
FEMENINO,399.0
MASCULINO,391.0
FEMENINO,411.0
MASCULINO,407.0
FEMENINO,391.0
FEMENINO,408.0
FEMENINO,399.0
MASCULINO,384.0
MASCULINO,392.0
MASCULINO,402.42
MASCULINO,403.0
FEMENINO,399.0
FEMENINO,383.0
MASCULINO,395.0
MASCULINO,391.0
MASCULINO,405.0
FEMENINO,398.05
FEMENINO,393.0
MASCULINO,403.88
MASCULINO,390.0
MASCULINO,395.0
MASCULINO,395.0
MASCULINO,386.0
FEMENINO,403.0
FEMENINO,379.0
MASCULINO,408.0
MASCULINO,377.0
MASCULINO,387.0
MASCULINO,383.0
MASCULINO,371.0
MASCULINO,397.0
FEMENINO,398.0
FEMENINO,374.0
FEMENINO,375.37
FEMENINO,398.0
MASCULINO,368.0
FEMENINO,383.0
MASCULINO,381.0
MASCULINO,397.0
MASCULINO,397.0
FEMENINO,391.0
FEMENINO,391.0
MASCULINO,384.0
FEMENINO,386.0
MASCULINO,372.0
MASCULINO,374.0
MASCULINO,383.83
MASCULINO,382.0
FEMENINO,388.0
FEMENINO,380.0
MASCULINO,381.87
MASCULINO,390.0
MASCULINO,370.0
FEMENINO,391.0
FEMENINO,383.0
MASCULINO,384.0
MASCULINO,379.0
MASCULINO,372.0
FEMENINO,382.0
MASCULINO,372.0
FEMENINO,374.0
FEMENINO,374.0
FEMENINO,371.0
FEMENINO,359.0
MASCULINO,368.8
FEMENINO,379.73
MASCULINO,377.0
FEMENINO,392.0
MASCULINO,374.88
MASCULINO,371.0
MASCULINO,361.0
MASCULINO,379.0
MASCULINO,388.0
MASCULINO,375.0
FEMENINO,370.0
FEMENINO,371.0
FEMENINO,377.0
MASCULINO,369.0
MASCULINO,374.0
MASCULINO,391.0
FEMENINO,389.0
FEMENINO,392.0
MASCULINO,365.38
FEMENINO,374.0
MASCULINO,384.0
MASCULINO,378.91
MASCULINO,366.24
MASCULINO,383.0
FEMENINO,484.0
MASCULINO,462.0
MASCULINO,473.0
MASCULINO,452.0
MASCULINO,469.0
MASCULINO,450.0
FEMENINO,460.0
MASCULINO,448.0
FEMENINO,446.0
MASCULINO,457.0
FEMENINO,462.0
FEMENINO,446.0
MASCULINO,426.0
MASCULINO,442.0
MASCULINO,438.0
FEMENINO,434.0
MASCULINO,435.0
FEMENINO,423.0
MASCULINO,439.0
MASCULINO,444.0
MASCULINO,414.0
MASCULINO,421.0
MASCULINO,419.0
FEMENINO,436.0
FEMENINO,424.0
MASCULINO,415.0
MASCULINO,435.0
MASCULINO,435.0
MASCULINO,420.0
FEMENINO,421.0
FEMENINO,440.0
MASCULINO,428.0
MASCULINO,439.0
MASCULINO,427.71
MASCULINO,416.0
MASCULINO,428.0
MASCULINO,433.0
MASCULINO,421.0
FEMENINO,435.0
MASCULINO,422.0
FEMENINO,411.0
MASCULINO,423.0
MASCULINO,424.0
MASCULINO,428.0
MASCULINO,422.0
FEMENINO,432.0
MASCULINO,416.0
MASCULINO,410.0
MASCULINO,428.0
MASCULINO,415.0
MASCULINO,422.0
MASCULINO,414.0
MASCULINO,429.0
MASCULINO,412.0
MASCULINO,412.0
FEMENINO,422.0
FEMENINO,409.0
MASCULINO,422.0
MASCULINO,414.0
FEMENINO,405.0
MASCULINO,421.0
MASCULINO,421.0
MASCULINO,409.0
FEMENINO,410.0
MASCULINO,420.0
MASCULINO,410.0
FEMENINO,419.0
MASCULINO,425.0
MASCULINO,424.0
MASCULINO,402.0
MASCULINO,405.0
MASCULINO,415.0
FEMENINO,406.0
FEMENINO,401.0
MASCULINO,410.0
FEMENINO,404.0
MASCULINO,420.0
FEMENINO,406.0
MASCULINO,395.0
FEMENINO,402.0
FEMENINO,414.0
MASCULINO,403.81
MASCULINO,402.0
FEMENINO,401.0
FEMENINO,409.0
MASCULINO,396.0
MASCULINO,390.0
MASCULINO,398.0
FEMENINO,420.0
FEMENINO,388.0
MASCULINO,394.0
MASCULINO,399.0
MASCULINO,413.0
FEMENINO,391.0
FEMENINO,409.0
MASCULINO,387.0
FEMENINO,409.0
FEMENINO,404.0
MASCULINO,421.0
FEMENINO,390.0
MASCULINO,412.0
FEMENINO,408.0
MASCULINO,404.0
MASCULINO,401.0
MASCULINO,404.0
FEMENINO,418.0
MASCULINO,398.0
MASCULINO,403.0
MASCULINO,419.0
MASCULINO,397.0
FEMENINO,414.0
FEMENINO,411.0
MASCULINO,403.0
MASCULINO,391.0
FEMENINO,418.0
MASCULINO,409.0
MASCULINO,414.0
MASCULINO,422.0
FEMENINO,394.0
FEMENINO,390.0
FEMENINO,401.0
MASCULINO,405.0
MASCULINO,386.0
MASCULINO,375.69
MASCULINO,402.0
MASCULINO,352.0
FEMENINO,365.0
MASCULINO,483.0
MASCULINO,444.0
FEMENINO,457.0
MASCULINO,435.0
MASCULINO,429.2
MASCULINO,422.0
FEMENINO,434.0
MASCULINO,428.0
MASCULINO,447.0
FEMENINO,432.0
FEMENINO,431.0
MASCULINO,419.0
FEMENINO,421.0
FEMENINO,427.0
MASCULINO,400.0
MASCULINO,431.28
MASCULINO,418.0
FEMENINO,431.0
MASCULINO,421.0
FEMENINO,410.0
MASCULINO,412.0
MASCULINO,399.0
MASCULINO,417.0
FEMENINO,412.0
MASCULINO,422.0
MASCULINO,422.0
FEMENINO,395.0
FEMENINO,429.0
MASCULINO,423.0
MASCULINO,427.88
FEMENINO,408.0
FEMENINO,407.3
MASCULINO,434.0
MASCULINO,412.0
MASCULINO,415.0
MASCULINO,409.0
FEMENINO,405.0
MASCULINO,402.0
MASCULINO,416.0
FEMENINO,406.0
MASCULINO,411.0
MASCULINO,405.0
MASCULINO,404.0
MASCULINO,402.0
MASCULINO,408.53
MASCULINO,399.0
FEMENINO,405.0
FEMENINO,398.0
MASCULINO,394.0
MASCULINO,404.0
MASCULINO,416.0
FEMENINO,413.0
MASCULINO,395.0
FEMENINO,402.0
MASCULINO,402.0
MASCULINO,411.0
FEMENINO,414.0
MASCULINO,400.62
MASCULINO,397.0
FEMENINO,401.0
FEMENINO,403.0
MASCULINO,391.0
MASCULINO,412.0
MASCULINO,399.0
FEMENINO,390.0
FEMENINO,399.0
MASCULINO,418.0
MASCULINO,405.0
MASCULINO,409.0
MASCULINO,391.0
MASCULINO,396.0
MASCULINO,384.45
FEMENINO,402.0
MASCULINO,396.0
FEMENINO,387.0
MASCULINO,406.0
MASCULINO,396.0
FEMENINO,402.0
FEMENINO,401.0
MASCULINO,396.0
MASCULINO,405.0
FEMENINO,402.0
FEMENINO,387.0
FEMENINO,408.0
MASCULINO,386.0
MASCULINO,395.0
FEMENINO,404.0
MASCULINO,383.0
MASCULINO,397.0
FEMENINO,410.0
MASCULINO,395.0
MASCULINO,397.0
FEMENINO,396.0
FEMENINO,394.0
MASCULINO,395.12
FEMENINO,389.0
MASCULINO,396.0
FEMENINO,397.0
MASCULINO,395.0
FEMENINO,384.53
MASCULINO,401.0
FEMENINO,396.0
MASCULINO,397.0
MASCULINO,405.0
FEMENINO,386.0
FEMENINO,386.0
MASCULINO,391.0
MASCULINO,390.0
MASCULINO,400.0
MASCULINO,393.0
MASCULINO,403.0
MASCULINO,375.0
FEMENINO,398.0
MASCULINO,382.0
MASCULINO,389.0
FEMENINO,388.0
MASCULINO,385.0
MASCULINO,391.05
MASCULINO,393.0
FEMENINO,389.0
MASCULINO,383.0
MASCULINO,385.0
MASCULINO,402.0
FEMENINO,382.0
MASCULINO,383.0
MASCULINO,387.0
MASCULINO,365.0
MASCULINO,378.0
MASCULINO,387.0
FEMENINO,388.0
FEMENINO,382.0
FEMENINO,414.0
FEMENINO,365.0
MASCULINO,418.0
NO REGISTRA,0.0
FEMENINO,402.0
FEMENINO,392.0
FEMENINO,384.0
MASCULINO,388.0
MASCULINO,360.0
MASCULINO,360.0
MASCULINO,355.0
FEMENINO,368.0
MASCULINO,363.0
